transformer_2t_2l_b32-l1e-05-h64-d0.6
Carico grafi già salvati
# train raw: 10037, # val: 4302
 Train label distrib: Counter({1: 5036, 0: 5001})
 Val   label distrib: Counter({1: 2159, 0: 2143})
Epoch 001 | Train Loss: 0.6932, Train Acc: 0.5060 | Val Loss: 0.6951, Val Acc: 0.4981 | LR: 0.00000085
Epoch 002 | Train Loss: 0.6923, Train Acc: 0.4962 | Val Loss: 0.6924, Val Acc: 0.4988 | LR: 0.00000085
Epoch 003 | Train Loss: 0.6913, Train Acc: 0.4976 | Val Loss: 0.6914, Val Acc: 0.5156 | LR: 0.00000085
Epoch 004 | Train Loss: 0.6912, Train Acc: 0.4973 | Val Loss: 0.6913, Val Acc: 0.4363 | LR: 0.00000085
Epoch 005 | Train Loss: 0.6912, Train Acc: 0.4886 | Val Loss: 0.6913, Val Acc: 0.4428 | LR: 0.00000085
Epoch 006 | Train Loss: 0.6912, Train Acc: 0.4878 | Val Loss: 0.6913, Val Acc: 0.4558 | LR: 0.00000085
Epoch 007 | Train Loss: 0.6915, Train Acc: 0.4855 | Val Loss: 0.6912, Val Acc: 0.4496 | LR: 0.00000085
Epoch 008 | Train Loss: 0.6912, Train Acc: 0.4928 | Val Loss: 0.6913, Val Acc: 0.4900 | LR: 0.00000085
Epoch 009 | Train Loss: 0.6912, Train Acc: 0.4935 | Val Loss: 0.6912, Val Acc: 0.4888 | LR: 0.00000085
Epoch 010 | Train Loss: 0.6910, Train Acc: 0.4944 | Val Loss: 0.6912, Val Acc: 0.5019 | LR: 0.00000085
Epoch 011 | Train Loss: 0.6909, Train Acc: 0.5007 | Val Loss: 0.6912, Val Acc: 0.4410 | LR: 0.00000085
Epoch 012 | Train Loss: 0.6912, Train Acc: 0.4906 | Val Loss: 0.6911, Val Acc: 0.4598 | LR: 0.00000085
Epoch 013 | Train Loss: 0.6911, Train Acc: 0.4910 | Val Loss: 0.6912, Val Acc: 0.5225 | LR: 0.00000085
Epoch 014 | Train Loss: 0.6911, Train Acc: 0.5017 | Val Loss: 0.6912, Val Acc: 0.5181 | LR: 0.00000085
Epoch 015 | Train Loss: 0.6909, Train Acc: 0.4996 | Val Loss: 0.6912, Val Acc: 0.5191 | LR: 0.00000085
Epoch 016 | Train Loss: 0.6909, Train Acc: 0.5031 | Val Loss: 0.6911, Val Acc: 0.4577 | LR: 0.00000085
Epoch 017 | Train Loss: 0.6912, Train Acc: 0.4942 | Val Loss: 0.6915, Val Acc: 0.5000 | LR: 0.00000085
Epoch 018 | Train Loss: 0.6911, Train Acc: 0.4950 | Val Loss: 0.6911, Val Acc: 0.5237 | LR: 0.00000085
Epoch 019 | Train Loss: 0.6913, Train Acc: 0.4915 | Val Loss: 0.6911, Val Acc: 0.5160 | LR: 0.00000085
Epoch 020 | Train Loss: 0.6908, Train Acc: 0.4968 | Val Loss: 0.6911, Val Acc: 0.5195 | LR: 0.00000085
Epoch 021 | Train Loss: 0.6910, Train Acc: 0.5033 | Val Loss: 0.6913, Val Acc: 0.5019 | LR: 0.00000085
Epoch 022 | Train Loss: 0.6909, Train Acc: 0.5010 | Val Loss: 0.6912, Val Acc: 0.5053 | LR: 0.00000085
